,info_ratio,rtn_avg,rtn_std,rtn_downside_std,rtn_tot,alpha_avg,alpha_tot,rtn_risk_adj,sharpe_ratio,beta,treynor_ratio,sortino_ratio,factors_used
RSI_14D,0.06565815953277124,0.00840235315151004,0.06756199836667577,0.05225824024571797,0.9242588466661041,0.0018654205038663306,0.20519625542529643,0.12436507733102238,-0.4725296412226411,1.1820638854850491,-0.02700788615616136,-0.6109093359894738,['RSI_14D']
PE_RATIO,-0.15330020515732645,0.0031895140573625523,0.06359961867553712,0.0493542137501344,0.35084654630988066,-0.0033474185902811547,-0.36821604493092697,0.05014989277898553,-0.5839325253206606,1.1476978328004848,-0.032358592027674826,-0.7524764983726706,['PE_RATIO']
5YR_AVG_RETURN_ON_EQUITY,-0.11007358949014506,0.0046302788801341034,0.0477416798967434,0.03795097809771413,0.5093306768147515,-0.0019066537675096027,-0.20973191442605635,0.09698609035435196,-0.7477139722999339,0.8592773958992076,-0.0415431865079029,-0.9406113599484809,['5YR_AVG_RETURN_ON_EQUITY']
BEST_EPS,-0.11654299774189006,0.004819593535510992,0.05163105410228116,0.040585490336202526,0.5301552889062092,-0.0017173391121327159,-0.18890730233459868,0.09334679718069233,-0.687721896867494,0.9444840927004647,-0.037594922708507714,-0.8748891825711369,['BEST_EPS']
PX_TO_BOOK_RATIO,0.09766055255394766,0.008511247221522297,0.048370760725364066,0.03764244561404176,0.9362371943674527,0.0019743145738785896,0.2171746031266449,0.17595851489388037,-0.6577558901568885,0.8505299358699102,-0.03740744615406933,-0.8452201300812753,['PX_TO_BOOK_RATIO']
MOV_AVG_50D,0.5026614289569944,0.020690289049506018,0.036310850555695745,0.027784763115232453,2.275931795445662,0.014153356401862311,1.556869204204854,0.569810090726738,-0.5408055897884686,0.5954217288743562,-0.0329801718651046,-0.7067582641987082,['MOV_AVG_50D']
EBITDA_MARGIN,-0.15199745928595093,0.0031108893558904173,0.0436047125181,0.034855191726132564,0.3421978291479458,-0.003426043291753289,-0.37686476209286174,0.07134296217637279,-0.8534974431642287,0.7529196504683943,-0.04942959135275198,-1.0677465479613653,['EBITDA_MARGIN']
NET_DEBT_PER_SHARE,0.07074729302080161,0.007716640156155364,0.05105656329630602,0.04172052218654247,0.8488304171770905,0.0011797075085116563,0.1297678259362822,0.15113904379681717,-0.6387182712355427,0.9227180961221452,-0.03534206165555442,-0.7816479309159676,['NET_DEBT_PER_SHARE']
OPERATING_ROIC,-0.0669295290176317,0.005368705511203546,0.051024197698235484,0.039774362866924595,0.5905576062323907,-0.001168227136440159,-0.1285049850084174,0.10521881290431749,-0.6851395233208222,0.9172882613352551,-0.0381109144882206,-0.8789253169374402,['OPERATING_ROIC']
VOLATILITY_90D,-0.04547751897890907,0.005045793548887565,0.03630298005767774,0.028063223683422983,0.5550372903776327,-0.0014911390987561405,-0.16402530086317557,0.1389911665893783,-0.9718652957706896,0.54407788587382,-0.0648466099563083,-1.2572185878970619,['VOLATILITY_90D']
RSI_14D_no-fees,0.07975123478094252,0.008807470136940807,0.0676109122265518,0.052267911377743316,0.9688217150634888,0.0022705374892971002,0.24975912382268098,0.13026699162745484,-0.4661958968611704,1.1826533556976548,-0.02665187538783533,-0.6030455212809782,['RSI_14D']
PE_RATIO_no-fees,-0.0937984115378323,0.0044778341738278184,0.06373650061016828,0.04943312251171026,0.49256175912106004,-0.0020590984738158877,-0.2265008321197477,0.07025541300448243,-0.5624652355082839,1.1499344149888275,-0.031175313443002298,-0.7252134602195065,['PE_RATIO']
5YR_AVG_RETURN_ON_EQUITY_no-fees,-0.10322970781779509,0.004756730784438748,0.047728967906927815,0.03793387681891652,0.5232403862882623,-0.0017802018632049577,-0.19582220495254546,0.09966129570860285,-0.7452637418207863,0.8595375730129172,-0.041383495419375554,-0.9377019223572525,['5YR_AVG_RETURN_ON_EQUITY']
BEST_EPS_no-fees,-0.0829359177778117,0.005313761439062694,0.051612496421926404,0.04051782059875511,0.5845137582968961,-0.0012231712085810117,-0.13454883294391135,0.10295493935467269,-0.6783945941057513,0.9440682231612719,-0.037088038450962715,-0.8641540448997663,['BEST_EPS']
PX_TO_BOOK_RATIO_no-fees,0.14707587182536988,0.009521803258806805,0.0484890136076322,0.03770866258163765,1.0473983584687487,0.0029848706111630964,0.3283357672279406,0.19637032289120576,-0.6353108559903635,0.8520305358796777,-0.03615550786497106,-0.8169368689356296,['PX_TO_BOOK_RATIO']
MOV_AVG_50D_no-fees,0.5127803902746804,0.020964123537053098,0.0363353440766843,0.02775271506711097,2.306053589075841,0.014427190889409393,1.5869909978350336,0.5769622957968733,-0.5329047227977661,0.5959655895493566,-0.03249059476334627,-0.6977074645173662,['MOV_AVG_50D']
EBITDA_MARGIN_no-fees,-0.14772764688399834,0.0032098023604623157,0.04362757510842879,0.03483849216417642,0.35307825965085504,-0.003327130287181389,-0.3659843315899528,0.07357278859723254,-0.8507829634649259,0.7534295623561982,-0.04926485433284556,-1.0654191767146803,['EBITDA_MARGIN']
NET_DEBT_PER_SHARE_no-fees,0.07931796242055003,0.007859017304770666,0.051080325058609474,0.041715207109477535,0.8644919035247741,0.001322084657126963,0.14542931228396586,0.15385605506138114,-0.6356338307944431,0.923199724499165,-0.03516940249613203,-0.7783344479153416,['NET_DEBT_PER_SHARE']
OPERATING_ROIC_no-fees,-0.05858630957759057,0.0055163518029773305,0.05103831278963271,0.039759240837566136,0.6067986983275063,-0.0010205808446663754,-0.11226389291330126,0.1080825658503714,-0.6820571898703861,0.9177679183219661,-0.037930121005614034,-0.875546098559603,['OPERATING_ROIC']
VOLATILITY_90D_no-fees,-0.03226805482081799,0.005479498752225082,0.03634741263997634,0.02805332587013441,0.6027448627447592,-0.0010574338954186244,-0.11631772849604871,0.15075347471083841,-0.9587450307108739,0.5448802810894778,-0.06395515208973465,-1.242202133504392,['VOLATILITY_90D']
sequential,0.6780008953868603,0.020677224112747663,0.0560781729341868,0.043383129900807525,2.2124629800640006,0.014238569589721141,1.523526946100162,0.3687214299405653,-0.3498757481401664,0.9790527388758126,-0.020040179584412537,-0.4522585796493449,['MOV_AVG_50D' 'PX_TO_BOOK_RATIO' 'NET_DEBT_PER_SHARE' 'RSI_14D']
zscore_simple,0.8630463976252832,0.027271038645740795,0.04883698463456335,0.03594856501258741,2.9998142510314887,0.02073410599809708,2.280751659790679,0.5584095506674728,-0.26734577189720354,0.8281739546785598,-0.015765240237875858,-0.36319561989991855,['MOV_AVG_50D' 'PX_TO_BOOK_RATIO' 'NET_DEBT_PER_SHARE' 'RSI_14D']
zscore_weighted,0.9405649333380882,0.026681354493203295,0.052685300800488964,0.03893715233781298,2.934948994252363,0.020144421845559587,2.215886403011554,0.5064288157761769,-0.2590104886839721,0.9205976605040207,-0.0148230286608871,-0.3504633669253888,['MOV_AVG_50D' 'PX_TO_BOOK_RATIO' 'NET_DEBT_PER_SHARE' 'RSI_14D']
